image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
10,0.19327731092436976,0.12141453708788535,0.0742279273497041,0.042486865818163494,0.2698412698412698,0.08064516129032258,0.17460317460317462,0.38485860875790473,0.25493454933166504,27.80425250530243,90.1652455329895,7.311883977036365e-62,0.5798319327731093,0.9152542372881356
11,0.2032520325203252,0.15808226971548908,0.09607790229561676,0.028804804046033805,0.1705426356589147,0.09448818897637795,0.1705426356589147,0.25889376218323584,0.2522600591182709,30.749812722206116,69.028639793396,2.746633919213775e-68,0.5447154471544715,0.9098360655737705
12,0.2857142857142857,0.1868706368604627,0.10798623890309858,0.03400812410510263,0.2424242424242424,0.08421052631578949,0.20202020202020202,0.41633165829145746,0.2834100127220154,29.810309410095215,83.58219265937805,1.8870083520175312e-34,0.6373626373626373,0.9444444444444444
13,0.11764705882352941,0.05469028176232294,0.014273134943235554,0.006851633398506626,0.13223140495867766,0.05042016806722689,0.11570247933884296,0.27126736111111116,0.14807091653347015,25.954222679138184,83.1047534942627,5.776055148350335e-65,0.5210084033613446,0.8389830508474576
14,0.19047619047619047,0.13522468075656263,0.07818398361244232,0.043548840565355115,0.23943661971830987,0.08571428571428572,0.16901408450704225,0.3022817460317461,0.2561589777469635,25.977951288223267,64.36058282852173,2.121325219764833e-59,0.4444444444444444,0.872
15,0.2040816326530612,0.10256545123110544,0.04933001139822906,0.018429002880824556,0.2524271844660194,0.05940594059405941,0.13592233009708737,0.21994134897360706,0.042521052062511444,32.969146966934204,80.76872825622559,3.428144888961147e-33,0.5918367346938775,0.9484536082474226
16,0.18018018018018014,0.1070794633251935,0.061177994615179775,0.021008644322109745,0.18803418803418806,0.06956521739130435,0.10714285714285714,0.32774838330393885,0.12220639735460281,34.06323194503784,86.13581657409668,8.524008068109976e-55,0.6936936936936937,0.9636363636363636
17,0.1652892561983471,0.11134044285378082,0.04851325850803979,0.017237299595365775,0.16260162601626016,0.049999999999999996,0.14634146341463414,0.3583099906629319,0.21809235215187073,26.760250329971313,61.415302753448486,1.4044115957761489e-69,0.5289256198347108,0.9083333333333333
18,0.23577235772357727,0.15850326185831456,0.09624669817727115,0.051291151093964066,0.37583892617449666,0.14965986394557823,0.22818791946308725,0.3772363004978357,0.280283123254776,27.46424973011017,80.89277744293213,4.6738069893571466e-39,0.5934959349593496,0.9262295081967213
19,0.13821138211382114,0.0952000076160009,0.0625217680218541,0.03699194367647313,0.20634920634920637,0.0967741935483871,0.15873015873015875,0.30418145519077194,0.2276284247636795,31.67434334754944,78.06680202484131,2.1161060859998127e-69,0.5609756097560976,0.9180327868852459
20,0.12500000000000003,0.07938841860374447,0.061489145016810104,0.03676009339139613,0.16260162601626016,0.08264462809917354,0.16260162601626016,0.3957446808510639,0.21240714192390442,28.90176773071289,63.71927261352539,3.2229940119310876e-64,0.575,0.9411764705882353
21,0.175,0.13826657968874304,0.1158916992668826,0.08884740977869536,0.20869565217391303,0.12844036697247704,0.19130434782608696,0.32469932137337904,0.1686708629131317,28.368225693702698,80.43668270111084,1.9800095159004106e-65,0.48333333333333334,0.7899159663865546
22,0.1626016260162602,0.12646581577239127,0.08292068933383899,0.054483803451034415,0.22222222222222224,0.08928571428571429,0.15789473684210525,0.3424810352521196,0.19998255372047424,34.91985499858856,69.19881701469421,4.9484113452350535e-68,0.5040650406504065,0.8278688524590164
23,0.17796610169491522,0.10318693980271744,0.05848723437316129,0.035545195560316434,0.20155038759689922,0.06451612903225805,0.1705426356589147,0.24221453287197234,0.19721552729606628,31.958740949630737,81.41069412231445,2.971648453152305e-57,0.5677966101694916,0.9145299145299145
24,0.14285714285714285,0.11212238211627759,0.08684757275151403,0.06206297434653121,0.15873015873015872,0.08264462809917357,0.14634146341463417,0.22222222222222224,0.2937904894351959,34.798067808151245,68.90811920166016,6.764439725394722e-77,0.5,0.856
25,0.17886178861788618,0.0937895591600527,0.0430826882356192,0.01568865067902051,0.1732283464566929,0.048,0.11851851851851852,0.26733595008051536,0.12444156408309937,23.27500581741333,82.26532936096191,2.7142700902932413e-54,0.5853658536585366,0.9590163934426229
